decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,grad_display_hint,user_confirm,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
later,Fab2,Rust Software Engineering Intern (Chip Design Tools) - Winter,https://jobright.ai/jobs/info/6a90d59fa1988648667634e2,intern_list,internship_if_eligible,On Site,"Austin, TX; San Francisco, CA",1 hour ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,medium,intern_ok + fit_priority: rust intern on chip-design tools; winter year not on the card — later.,board_fields,program_end,,,,,,
later,Fab2,"Rust Software Engineering Intern, Chip Design Tools - Summer",https://jobright.ai/jobs/info/6a9c4e9668f82b40367360fe,intern_list,internship_if_eligible,On Site,"Austin, TX; San Francisco, CA",1 hour ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,medium,intern_ok + fit_priority: rust intern on chip-design tools. Adjacent hardware; later not keep.,board_fields,program_end,,,,,,
keep,"GE Appliances, a Haier company",Software Engineering Co-op_Fall 2027,https://jobright.ai/jobs/info/6a8dde5fcc0cf27068525b94,intern_list,internship_if_eligible,On Site,"Louisville, KY",2 hours ago,2026-09-05T22:11:34+00:00,broad,cloud_swe,high,"intern_ok + fit_priority: Fall 2027 software-engineering co-op, Louisville on-site.",board_fields,program_end,,,none,,,
keep,IBM,Intern Data Engineer - Data Services - 2027,https://jobright.ai/jobs/info/6a9c3debdacf777321a8dd13,intern_list,internship_if_eligible,Hybrid,"Buffalo, NY",6 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: 2027 data-engineer intern, Buffalo hybrid.",board_fields,program_end,,,none,,,
keep,IBM,Intern Data Scientist 2027 – AI & Data Analytics,https://jobright.ai/jobs/info/6a9c33aca7ba386c5d66e143,intern_list,internship_if_eligible,On Site,"Chicago, IL; Dallas, TX",6 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: 2027 data-scientist intern, AI and data analytics.",board_fields,program_end,,,none,,,
keep,IBM,Intern Developer – Adobe 2027,https://jobright.ai/jobs/info/6a9c3ad068f82b4036735f17,intern_list,internship_if_eligible,On Site,"New York, NY; State College, PA",6 hours ago,2026-09-05T22:11:34+00:00,core,cloud_swe,high,"intern_ok + fit_priority: 2027 developer intern (Adobe), NY / State College on-site.",board_fields,program_end,,,none,,,
later,Infineon Technologies,Internship - Embedded Systems EngineerInternship - Embedded Systems Engineer,https://jobright.ai/jobs/info/6a863807e459fa3baa866d31,intern_list,internship_if_eligible,On Site,"Austin, TX",4 hours ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,medium,intern_ok + fit_priority: embedded-systems intern; cycle year not on the card. Weaker cluster fit.,board_fields,program_end,,,,,,
later,Keurig Dr Pepper Inc.,Summer 2027 Intern - Data Analytics,https://jobright.ai/jobs/info/6a97108ee4e60e4b8da5bd8f,intern_list,internship_if_eligible,On Site,"Rogers, AR",2 hours ago,2026-09-05T22:11:34+00:00,practice,data_ml,medium,intern_ok + fit_priority: Summer 2027 data-analytics intern (light analytics → later).,board_fields,program_end,,,,,,
later,"Loram Maintenance of Way, Inc.",Machine Learning / Artificial Intelligence (AI) Intern,https://jobright.ai/jobs/info/6a9bce8e68f82b4036735670,intern_list,internship_if_eligible,On Site,"Medina, MN",14 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,medium,intern_ok + fit_priority: related SWE/ML intern but no explicit 2027 term on the board card — do not infer cycle.,board_fields,program_end,,,,,,
skip,Mayo Clinic,Data Science Intern - Garg Lab AI Program,https://jobright.ai/jobs/info/6a9b071913883870605963f9,intern_list,internship_if_eligible,Remote,United States,23 hours ago,2026-09-05T22:11:34+00:00,,,high,remote: fully remote / remote-only on board work_model.,board_fields,n/a,,,,,,
skip,Mayo Clinic Healthcare London,Data Science Intern - Garg Lab AI Program,https://jobright.ai/jobs/info/6a9b0f239c24314c35f978b4,intern_list,internship_if_eligible,Remote,United States,1 day ago,2026-09-05T22:11:34+00:00,,,high,remote: fully remote / remote-only on board work_model.,board_fields,n/a,,,,,,
skip,Mayo Clinic Rochester,Data Science Intern - Garg Lab AI Program,https://jobright.ai/jobs/info/6a9b10bfd5ff1f3f1c39d77d,intern_list,internship_if_eligible,Remote,United States,1 day ago,2026-09-05T22:11:34+00:00,,,high,remote: fully remote / remote-only on board work_model.,board_fields,n/a,,,,,,
skip,Medpace,Clinical Data Intern - Fall 2026,https://jobright.ai/jobs/info/6a96696b455eaf6a08c17354,intern_list,internship_if_eligible,On Site,"Cincinnati, OH",11 hours ago,2026-09-05T22:11:34+00:00,,,high,start_date_conflict + timing_expired: explicit 2026 job cycle/start in the title.,board_fields,n/a,,,,,,
skip,Microsoft,Data Science: AI Experiences PhD Internship Opportunities - Redmond,https://jobright.ai/jobs/info/6a99f78a040e5c3d07599f1d,intern_list,internship_if_eligible,On Site,"Redmond, WA",1 day ago,2026-09-05T22:11:34+00:00,,,high,hard_gate: PhD-only title on board text.,board_fields,n/a,,,,,,
later,NYC Department of Health and Mental Hygiene,GENERATIVE AI DEVELOPER GRADUATE INTERN,https://jobright.ai/jobs/info/6a9c0b6775edfa11b470d657,intern_list,internship_if_eligible,On Site,"New York, NY",9 hours ago,2026-09-05T22:11:34+00:00,broad,data_ml,medium,"intern_ok + fit_priority: generative-AI graduate intern, NYC on-site; cycle year not on the card — later rather than keep.",board_fields,program_end,,,,,,
later,NYC Department of Social Services,GENERATIVE AI DEVELOPER GRADUATE INTERN,https://jobright.ai/jobs/info/6a9c2710c1d6f91bc3883e96,intern_list,internship_if_eligible,On Site,"New York, NY",7 hours ago,2026-09-05T22:11:34+00:00,broad,data_ml,medium,"intern_ok + fit_priority: generative-AI graduate intern, NYC on-site; cycle year not on the card — later rather than keep.",board_fields,program_end,,,,,,
later,National Futures Association,Summer 2027 Centralized Data Science and Analytics Intern Job Details | National Futures Association,https://jobright.ai/jobs/info/6a9ba10e2c964816f65e8477,intern_list,internship_if_eligible,On Site,"Chicago, IL",17 hours ago,2026-09-05T22:11:34+00:00,broad,data_ml,medium,fit_priority: related intern; weaker fit or missing 2027 term.,board_fields,program_end,,,,,,
keep,Naval Nuclear Laboratory (FMP),Data Science Internship Summer 2027,https://jobright.ai/jobs/info/6a9bfc25a7ba386c5d66dd39,intern_list,internship_if_eligible,On Site,"Niskayuna, NY",10 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: Summer 2027 data-science intern. export_compliance: keep, low care.",board_fields,program_end,,,none,,,
later,Navi Operations,Intern to Founding Engineer,https://jobright.ai/jobs/info/6a9c4159dacf777321a8dd32,intern_list,internship_if_eligible,On Site,"New York, NY",5 hours ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,low,intern_ok + fit_priority: intern-to-founding-engineer at an unknown shop; later.,board_fields,program_end,,,,,,
later,Neptune.io,"Software Engineer (Full-time, part-time, or Intern)",https://jobright.ai/jobs/info/6a9c79492c964816f65e950b,intern_list,internship_if_eligible,On Site,"Seattle, WA",1 hour ago,2026-09-05T22:11:34+00:00,broad,cloud_swe,low,fit_priority: SWE listed as full-time / part-time / intern; term unclear — later.,board_fields,program_end,,,,,,
skip,Neuralink,Biomedical Engineer Intern,https://jobright.ai/jobs/info/6a7f9decad9ff00c26baf785,intern_list,internship_if_eligible,On Site,"South San Francisco, CA",8 hours ago,2026-09-05T22:11:34+00:00,,,high,"non_target_role: biomedical engineer intern, not SWE/ML/AI infra.",board_fields,n/a,,,,,,
keep,Neuralink,Machine Learning Engineer Intern,https://jobright.ai/jobs/info/6a038dc98ecfd93cd9c0f6f5,intern_list,internship_if_eligible,On Site,"Fremont, CA",9 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: machine-learning engineer intern, Fremont on-site. No 2026 cycle on the card.",board_fields,program_end,,,none,,,"Greenhouse neuralink has one Machine Learning Engineer Intern req (6594261003, South San Francisco). Fremont board location does not match; left unresolved."
keep,Neuralink,Machine Learning Engineer Intern,https://jobright.ai/jobs/info/6a51c40f8d7d3e6cf1cc296d,intern_list,internship_if_eligible,On Site,"South San Francisco, CA",9 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: machine-learning engineer intern, South San Francisco on-site. No 2026 cycle on the card.",board_fields,program_end,,https://boards.greenhouse.io/neuralink/jobs/6594261003?gh_jid=6594261003,exact,greenhouse,Machine Learning Engineer Intern,"title exact on known greenhouse 'neuralink' (6594261003, South San Francisco)."
keep,Neuralink,Machine Learning Engineer Intern,https://jobright.ai/jobs/info/6a19837cc2a87d6cd3df9349,intern_list,internship_if_eligible,On Site,"South San Francisco, CA",9 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: machine-learning engineer intern, South San Francisco on-site. No 2026 cycle on the card.",board_fields,program_end,,https://boards.greenhouse.io/neuralink/jobs/6594261003?gh_jid=6594261003,exact,greenhouse,Machine Learning Engineer Intern,"title exact on known greenhouse 'neuralink' (6594261003, South San Francisco)."
skip,Oak Ridge Institute for Science and Education,Medical Evacuation Engineering Research Internship,https://jobright.ai/jobs/info/6a9b82d390a313642c65a353,intern_list,internship_if_eligible,On Site,"Fort Novosel, AL",21 hours ago,2026-09-05T22:11:34+00:00,,,high,"non_target_role: military medical-evacuation research, not SWE/ML.",board_fields,n/a,,,,,,
later,Oracle,ONA AI Agent Intern (Logistics Focus) - OVIP,https://jobright.ai/jobs/info/6a5e3065050c423c792ed9c0,intern_list,internship_if_eligible,On Site,"Austin, TX",12 hours ago,2026-09-05T22:11:34+00:00,broad,data_ml,medium,"fit_priority + intern_ok: Oracle OVIP intern; demo/strategy or logistics-agent focus, year not on the card.",board_fields,program_end,,,,,,
keep,PepsiCo,"2027 Summer Intern: Technology Data & Analytics, Data Engineer & Data Science",https://jobright.ai/jobs/info/6a9860a483fc633357631306,intern_list,internship_if_eligible,On Site,"Plano, TX; Harrison, NY",1 day ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: 2027 summer data engineer / data science intern.,board_fields,program_end,,,none,,,
keep,Rippling,Machine Learning Software Engineer Intern - Winter 2027,https://jobright.ai/jobs/info/6a55f31cf7517b519ad5221c,intern_list,internship_if_eligible,Hybrid,"San Francisco, CA; New York, NY",9 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,"intern_ok + fit_priority: Winter 2027 ML software-engineer intern, SF/NY hybrid.",board_fields,program_end,,,none,,,
later,River Partners,Data Science Intern,https://jobright.ai/jobs/info/6a9b499a9c24314c35f98c0a,intern_list,internship_if_eligible,On Site,"San Diego, CA; Chico, CA",1 day ago,2026-09-05T22:11:34+00:00,broad,data_ml,medium,intern_ok + fit_priority: related SWE/ML intern but no explicit 2027 term on the board card — do not infer cycle.,board_fields,program_end,,,,,,
keep,Schonfeld,2027 Data Science Intern,https://jobright.ai/jobs/info/6a9af6ab9c24314c35f96bbc,intern_list,internship_if_eligible,On Site,"New York, NY",1 day ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: 2027 data science intern.,board_fields,program_end,,https://job-boards.greenhouse.io/schonfeld/jobs/8171692,exact,greenhouse,2027 Data Science Intern,title overlap 1.00 on known greenhouse 'schonfeld'
later,Springs Window Fashions,Dealer Business Operations & Analytics Internship - Summer 2027,https://jobright.ai/jobs/info/6a89a042cde3717f9e9b875f,intern_list,internship_if_eligible,On Site,"Middleton, WI",8 hours ago,2026-09-05T22:11:34+00:00,practice,data_ml,medium,intern_ok + fit_priority: Summer 2027 dealer-ops analytics intern (light analytics → later).,board_fields,program_end,,,,,,
keep,The Nuclear Company,Spring 2027 AI Applied Research Internship,https://jobright.ai/jobs/info/6a7f7b9d19ce4e6e9d93854b,intern_list,internship_if_eligible,On Site,"Washington, DC",10 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + dual_grad_dates + fit_priority: Spring 2027 AI applied-research intern.,board_fields,dual_date,,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5391888008,exact,greenhouse,Spring 2027 AI Applied Research Internship,title exact on greenhouse 'thenuclearcompany' (verified 2026-09-05). Slug guess nuclear 404s.
keep,The Nuclear Company,Summer 2027 AI Applied Research Internship,https://jobright.ai/jobs/info/6a7f85d219ce4e6e9d938e56,intern_list,internship_if_eligible,On Site,"Washington, DC",11 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: Summer 2027 AI applied-research intern.,board_fields,program_end,,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5391923008,exact,greenhouse,Summer 2027 AI Applied Research Internship,title exact on greenhouse 'thenuclearcompany' (verified 2026-09-05). Slug guess nuclear 404s.
keep,The Walt Disney Company,"Commercial Data Science Intern, Spring 2027",https://jobright.ai/jobs/info/6a9b58829c24314c35f98fe8,intern_list,internship_if_eligible,On Site,"Lake Buena Vista, FL",22 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + dual_grad_dates + fit_priority: Spring 2027 commercial data-science intern.,board_fields,dual_date,,,none,,,
keep,TikTok,(General Hire) Machine Learning Engineer Intern (Trust and Safety - CV/NLP/Multimodal LLM) - 2027 Summer,https://jobright.ai/jobs/info/6a6ffdd0c56c0956e8add73f,intern_list,internship_if_eligible,On Site,"San Jose, CA",3 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: 2027 summer ML engineer intern (trust and safety / multimodal).,board_fields,program_end,,,none,,,
skip,TikTok,Data Science Intern (Advertisement Team) - 2027 Start (PhD),https://jobright.ai/jobs/info/6a7d66eda346cb6c8d5f2380,intern_list,internship_if_eligible,On Site,"San Jose, CA",1 day ago,2026-09-05T22:11:34+00:00,,,high,hard_gate: PhD-only title on board text.,board_fields,n/a,,,,,,
keep,TikTok,Machine Learning Engineer Intern (TikTok-Data-Search-Local Service) - 2027 Summer,https://jobright.ai/jobs/info/6a714fe9cb96192a36848660,intern_list,internship_if_eligible,On Site,"San Jose, CA",5 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: 2027 summer ML engineer intern (search / local service).,board_fields,program_end,,,none,,,
keep,TikTok,Machine Learning Engineer Intern (TikTok-Data-Search-Recommendation) - 2027 Summer,https://jobright.ai/jobs/info/6a7348bd6a034212ea0267da,intern_list,internship_if_eligible,On Site,"San Jose, CA",7 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + fit_priority: 2027 summer ML engineer intern (search / recommendation).,board_fields,program_end,,,none,,,
skip,TikTok,Research Scientist Intern (Ads Integrity) - 2026 Start (PhD),https://jobright.ai/jobs/info/6a4e7bfafc327f422fef2f41,intern_list,internship_if_eligible,On Site,"San Jose, CA",7 hours ago,2026-09-05T22:11:34+00:00,,,high,start_date_conflict + timing_expired + hard_gate: explicit 2026 start and PhD-only in the title.,board_fields,n/a,,,,,,
skip,TikTok,Research Scientist Intern (Trust and Safety - CV/NLP/Multimodal LLM) - 2027 Start (PhD),https://jobright.ai/jobs/info/6a89eb78d34f700f87fcc20e,intern_list,internship_if_eligible,On Site,"Seattle, WA",1 hour ago,2026-09-05T22:11:34+00:00,,,high,hard_gate: PhD-only title on board text.,board_fields,n/a,,,,,,
skip,Vendelux,Fall Data Intern,https://jobright.ai/jobs/info/6a7f3e56927c79391ad074ed,intern_list,internship_if_eligible,On Site,"New York, NY",7 hours ago,2026-09-05T22:11:34+00:00,,,medium,start_date_conflict + timing_expired: Fall data intern posted in September 2026 is the current Fall 2026 cycle.,board_fields,n/a,,,,,,
later,Vertiv,Planning Analytics Intern (Summer 2027),https://jobright.ai/jobs/info/6a7f62c4ad9ff00c26bade11,intern_list,internship_if_eligible,On Site,"Westerville, OH",9 hours ago,2026-09-05T22:11:34+00:00,practice,data_ml,medium,intern_ok + fit_priority: Summer 2027 planning-analytics intern (light analytics → later).,board_fields,program_end,,,,,,
keep,Walt Disney World,"Commercial Data Science Intern, Spring 2027",https://jobright.ai/jobs/info/6a9b50fbd5ff1f3f1c39ec79,intern_list,internship_if_eligible,On Site,"Lake Buena Vista, FL",22 hours ago,2026-09-05T22:11:34+00:00,core,data_ml,high,intern_ok + dual_grad_dates + fit_priority: Spring 2027 commercial data-science intern.,board_fields,dual_date,,,none,,,
later,Zenly,Startup Software Developer Internship,https://jobright.ai/jobs/info/6a9c794cdacf777321a8e115,intern_list,internship_if_eligible,Hybrid,"New York, NY",1 hour ago,2026-09-05T22:11:34+00:00,practice,cloud_swe,low,intern_ok + fit_priority: generic startup SWE intern; cycle year not on the card — later.,board_fields,program_end,,,,,,
keep,Anyscale,Software Engineer (Ray Core),https://jobs.ashbyhq.com/anyscale/81809616-ef2f-44f8-bcee-d1e17749f45d/application,ashby_sweep,new_grad,,San Francisco,2026-09-03T21:14:22.858+00:00,2026-09-05T22:12:45.726135+00:00,core,cloud_swe,medium,"fit_priority: Ray Core software engineer, San Francisco. Not labeled new-grad; still core infra.",board_fields,program_end,,https://jobs.ashbyhq.com/anyscale/81809616-ef2f-44f8-bcee-d1e17749f45d/application,exact,ashby,Software Engineer (Ray Core),"restored ashby_sweep applyUrl (San Francisco). Title-only resolve attached Bengaluru Software Engineer, Ray Core (8b29c5e5)."
later,Baseten,Data Scientist (Analytics),https://jobs.ashbyhq.com/baseten/f160637f-b6bf-4f69-a8bd-862a3a3a8b0d/application,ashby_sweep,new_grad,,San Francisco,2026-09-02T23:03:12.050+00:00,2026-09-05T22:12:45.726135+00:00,broad,data_ml,medium,fit_priority: adjacent or experienced specialist SWE/support/analytics; not a clear new-grad target.,board_fields,program_end,,,,,,
later,Baseten,Software Engineer - Identity and Authorization,https://jobs.ashbyhq.com/baseten/19972142-ec0b-4049-8d8f-6a341f57f938/application,ashby_sweep,new_grad,,San Francisco,2026-09-02T15:37:51.977+00:00,2026-09-05T22:12:45.726135+00:00,broad,cloud_swe,medium,fit_priority: adjacent or experienced specialist SWE/support/analytics; not a clear new-grad target.,board_fields,program_end,,,,,,
